checkout_id,member_id,book_id,checkout_date,return_date,first_name,last_name,grade,neighborhood,membership_status,join_date,member_total_book_count,title,author,genre,pages,publication_year,publisher,source
9030,1018,507,2025-03-09,,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,17.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9291,1065,526,2024-03-25,2024-03-31,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,17.0,The Clockwork Orchard,Mahmoud Rafei,Science Fiction,125,2016.0,Delta House,Library Database
9369,1076,501,2025-06-05,,Dina,Wahba,7.0,Shubra,Active,2025-12-13,7.0,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Library Database
9225,1059,516,2025-08-06,2025-08-22,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,7.0,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,Library Database
9256,1059,521,2025-07-09,,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,7.0,A Garden of Equations,Karim Elwy,Science,211,2024.0,Cairo Young Readers,Library Database
9234,1053,525,2024-02-13,2024-03-06,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,5.0,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Library Database
9152,1030,525,2025-01-03,,Reem,Osman,,Nasr City,Active,2025-04-01,16.0,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Library Database
9063,1018,515,2024-10-22,,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,17.0,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers,Library Database
9161,1040,519,2025-10-11,2025-11-01,Dina,Adel,9.0,Nasr City,Active,2025-12-26,2.0,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Library Database
9206,1050,519,2024-03-17,,Fares,Adel,6.0,Heliopolis,inactive,2025-09-10,11.0,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Library Database
9031,1020,530,2025-12-28,2026-01-05,Rana,Fouad,6.0,Maadi,Active,2025-12-04,7.0,The Sandstone Key,Sara Tantawy,Adventure,208,2012.0,Oasis Books,Library Database
9189,1032,507,2025-12-08,2025-12-16,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,6.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9288,1065,519,2025-03-20,2025-03-31,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,17.0,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Library Database
9236,1052,507,2024-09-02,2024-09-29,Retaj,Adel,7.0,Heliopolis,Active,2025-06-07,1.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9360,1077,520,2024-03-04,2024-03-16,Lina,Rashad,6.0,Shubra,Active,2023-07-08,6.0,The Copper Telescope,Jasmine Wahdan,Science Fiction,136,2009.0,Oasis Books,Library Database
9111,1027,510,2024-09-12,2024-10-03,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,18.0,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers,Library Database
9342,1068,501,2025-05-28,2025-06-27,Layla,Hegazy,8.0,Zamalek,Inactive,2025-02-24,6.0,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Library Database
9380,1022,513,2024-04-22,2024-04-28,Youssef,Fouad,7.0,Maadi,Active,2025-02-28,6.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9302,1061,507,2024-06-22,,Ziad,Fahmy,9.0,zamalek,Inactive,2023-04-27,8.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9173,1027,532,2025-03-10,2025-04-06,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,18.0,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books,Library Database
9019,1014,513,2024-03-06,2024-03-23,Habiba,Nabil,6.0,Maadi,Active,2024-07-09,1.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9143,1024,518,2025-10-02,,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,17.0,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011.0,Delta House,Library Database
9222,1050,505,2024-01-09,2024-02-01,Fares,Adel,6.0,Heliopolis,inactive,2025-09-10,11.0,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books,Library Database
9101,1020,532,2025-05-25,2025-06-15,Rana,Fouad,6.0,Maadi,Active,2025-12-04,7.0,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books,Library Database
9316,1065,513,2024-08-25,2024-09-17,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,17.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9148,1027,532,2025-07-05,2025-07-26,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,18.0,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books,Library Database
9070,1018,513,2025-01-08,2025-02-01,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,17.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9139,1036,521,2024-03-14,2024-03-20,Lina,Zaki,7.0,Nasr City,Active,2025-08-05,1.0,A Garden of Equations,Karim Elwy,Science,211,2024.0,Cairo Young Readers,Library Database
9043,1005,505,2024-01-26,2024-02-04,Youssef,Halim,9.0,Maadi,Active,2024-05-05,3.0,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books,Library Database
9187,1034,502,2024-08-11,,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,25.0,Desert Compass,Amina Darwish,Adventure,109,2018.0,Delta House,Library Database
9269,1054,507,2025-01-26,2025-01-31,Retaj,Fahmy,6.0,Heliopolis,Inactive,2024-03-21,6.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9056,1010,519,2025-07-11,2025-07-27,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,18.0,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Library Database
9057,1020,519,2025-02-03,,Rana,Fouad,6.0,Maadi,Active,2025-12-04,7.0,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Library Database
9140,1034,513,2025-03-06,2025-04-02,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,25.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9209,1058,525,2024-11-22,2024-12-12,Lina,Mansour,8.0,Heliopolis,active,2025-07-20,3.0,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Library Database
9249,1057,519,2024-10-17,2024-11-03,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12,10.0,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Library Database
9058,1006,501,2025-03-18,2025-04-09,Layla,Mansour,6.0,Maadi,Inactive,2024-02-12,1.0,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Library Database
9366,1079,503,2024-06-23,2024-07-23,Rana,Osman,8.0,Shubra,Active,2024-10-27,10.0,The Lantern Maker,Adel Roushdy,Historical,259,,Nile Press,Library Database
9218,1044,532,2025-04-23,2025-05-04,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,21.0,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books,Library Database
9355,1075,515,2024-11-10,2024-12-02,Malak,Fahmy,7.0,Shubra,Active,2024-10-28,9.0,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers,Library Database
9205,1053,525,2024-12-02,2024-12-14,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,5.0,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Library Database
9025,1001,525,2024-10-24,2024-11-07,Salma,Ibrahim,8.0,Maadi,Active,2023-04-05,1.0,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Library Database
9124,1024,525,2025-10-14,2025-11-13,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,17.0,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Library Database
9034,1015,511,2025-10-13,,Hamza,Sabry,7.0,Maadi,Inactive,2025-08-13,3.0,Winter in Alexandria,Farida Anwar,Historical,117,2016.0,Nile Press,Library Database
9181,1041,509,2025-03-24,,Nada,Rashad,7.0,Nasr City,Active,2024-04-02,2.0,Marbles and Mirrors,Diaa Sultan,Mystery,221,2011.0,Nile Press,Library Database
9171,1027,507,2025-05-23,2025-06-19,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,18.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9318,1067,513,2025-07-23,2025-08-17,Aya,Ibrahim,7.0,Zamalek,Inactive,2024-07-03,3.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9296,1065,501,2024-12-15,2025-01-11,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,17.0,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Library Database
9348,1075,532,2024-07-28,2024-08-25,Malak,Fahmy,7.0,Shubra,Active,2024-10-28,9.0,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books,Library Database
9141,1027,529,2025-02-09,2025-03-03,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,18.0,Riddles of the Red Sea,Sara Tantawy,Mystery,298,,Cairo Young Readers,Library Database
9094,1022,527,2024-11-22,2024-12-08,Youssef,Fouad,7.0,Maadi,Active,2025-02-28,6.0,Notes from the Delta,Mona Kholoussy,Nature,328,2017.0,Delta House,Library Database
9280,1054,517,2024-09-06,2024-09-15,Retaj,Fahmy,6.0,Heliopolis,Inactive,2024-03-21,6.0,Shadows on the Corniche,Hani Nagati,Mystery,338,2015.0,Delta House,Library Database
9211,1044,507,2025-04-28,2025-05-25,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,21.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9294,1067,507,2024-11-26,,Aya,Ibrahim,7.0,Zamalek,Inactive,2024-07-03,3.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9372,1076,519,2025-03-06,2025-04-02,Dina,Wahba,7.0,Shubra,Active,2025-12-13,7.0,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Library Database
9112,1031,521,2024-07-28,2024-08-22,Ali,Fahmy,8.0,NASR CITY,Active,2023-09-08,1.0,A Garden of Equations,Karim Elwy,Science,211,2024.0,Cairo Young Readers,Library Database
9001,1008,501,2025-08-23,2025-08-28,Ziad,Saleh,8.0,Maadi,active,2025-10-28,19.0,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Library Database
9328,1070,501,2024-01-28,,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22,3.0,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Library Database
9075,1018,510,2024-07-01,,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,17.0,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers,Library Database
9149,1032,507,2025-02-09,2025-02-18,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,6.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9165,1030,519,2025-03-27,2025-04-02,Reem,Osman,,Nasr City,Active,2025-04-01,16.0,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Library Database
9255,1044,509,2025-05-24,2025-06-13,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,21.0,Marbles and Mirrors,Diaa Sultan,Mystery,221,2011.0,Nile Press,Library Database
9304,1068,519,2024-04-16,2024-05-09,Layla,Hegazy,8.0,Zamalek,Inactive,2025-02-24,6.0,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Library Database
9322,1061,510,2025-10-20,2025-11-15,Ziad,Fahmy,9.0,zamalek,Inactive,2023-04-27,8.0,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers,Library Database
9317,1061,507,2024-01-26,2024-02-09,Ziad,Fahmy,9.0,zamalek,Inactive,2023-04-27,8.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9271,1044,513,2025-04-26,2025-05-06,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,21.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9186,1034,516,2025-07-17,2025-08-03,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,25.0,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,Library Database
9333,1072,520,2025-06-03,2025-06-08,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,14.0,The Copper Telescope,Jasmine Wahdan,Science Fiction,136,2009.0,Oasis Books,Library Database
9188,1023,507,2025-05-11,2025-06-08,Hassan,Rashad,8.0,Nasr City,Inactive,,1.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9371,1079,528,2025-04-22,2025-05-02,Rana,Osman,8.0,Shubra,Active,2024-10-27,10.0,The Glass Beehive,Mona Kholoussy,Nature,114,2010.0,Delta House,Library Database
9036,1010,515,2024-11-27,2024-12-24,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,18.0,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers,Library Database
9163,1034,531,2025-12-28,2026-01-02,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,25.0,Voices in the Library,Samir Zohdy,Friendship,272,2018.0,Oasis Books,Library Database
9091,1008,525,2024-06-03,2024-06-12,Ziad,Saleh,8.0,Maadi,active,2025-10-28,19.0,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Library Database
9092,1019,507,2025-03-20,2025-03-27,Mostafa,Wahba,6.0,Maadi,Inactive,2024-07-20,3.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9040,1016,529,2025-01-23,2025-02-11,Dina,Rashad,8.0,Maadi,Active,2023-04-24,7.0,Riddles of the Red Sea,Sara Tantawy,Mystery,298,,Cairo Young Readers,Library Database
9376,1024,518,2025-10-22,2025-11-04,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,17.0,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011.0,Delta House,Library Database
9033,1020,522,2025-02-26,2025-03-11,Rana,Fouad,6.0,Maadi,Active,2025-12-04,7.0,The Puzzle Merchant,Karim Elwy,Mystery,104,2016.0,Cairo Young Readers,Library Database
9341,1065,516,2025-02-19,2025-03-09,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,17.0,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,Library Database
9247,1044,510,2025-02-01,2025-02-23,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,21.0,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers,Library Database
9184,1026,501,2024-12-15,2025-01-11,Nada,Saleh,7.0,Nasr City,inactive,2023-11-16,3.0,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Library Database
9228,1044,516,2024-12-05,2024-12-26,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,21.0,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,Library Database
9331,1065,525,2025-02-17,2025-02-23,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,17.0,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Library Database
9207,1044,527,2025-10-20,2025-11-04,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,21.0,Notes from the Delta,Mona Kholoussy,Nature,328,2017.0,Delta House,Library Database
9323,1072,519,2024-01-23,2024-01-28,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,14.0,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Library Database
9337,1072,529,2024-11-13,,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,14.0,Riddles of the Red Sea,Sara Tantawy,Mystery,298,,Cairo Young Readers,Library Database
9326,1062,501,2024-08-15,2024-08-21,Tarek,Adel,7.0,Zamalek,Active,2023-01-22,7.0,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Library Database
9128,1024,501,2025-06-12,2025-06-19,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,17.0,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Library Database
9123,1027,511,2025-03-23,2025-04-11,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,18.0,Winter in Alexandria,Farida Anwar,Historical,117,2016.0,Nile Press,Library Database
9003,1015,501,2024-08-04,2024-08-13,Hamza,Sabry,7.0,Maadi,Inactive,2025-08-13,3.0,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Library Database
9066,1005,513,2025-07-15,2025-07-31,Youssef,Halim,9.0,Maadi,Active,2024-05-05,3.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9053,1008,516,2025-07-20,2025-08-08,Ziad,Saleh,8.0,Maadi,active,2025-10-28,19.0,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,Library Database
9052,1019,501,2024-06-20,2024-06-29,Mostafa,Wahba,6.0,Maadi,Inactive,2024-07-20,3.0,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Library Database
9162,1030,519,2025-08-27,2025-09-11,Reem,Osman,,Nasr City,Active,2025-04-01,16.0,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Library Database
9027,1018,519,2024-11-04,,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,17.0,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Library Database
9194,1024,513,2024-09-17,2024-10-09,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,17.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9120,1034,526,2025-06-06,2025-06-26,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,25.0,The Clockwork Orchard,Mahmoud Rafei,Science Fiction,125,2016.0,Delta House,Library Database
9182,1037,525,2024-05-19,2024-06-03,Retaj,Kamel,,Nasr City,Inactive,2023-08-26,2.0,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Library Database
9241,1059,519,2025-01-04,2025-01-11,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,7.0,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Library Database
9172,1030,513,2025-05-04,2025-05-26,Reem,Osman,,Nasr City,Active,2025-04-01,16.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9193,1034,519,2024-09-15,2024-10-01,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,25.0,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Library Database
9100,1010,513,2025-08-27,2025-09-22,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,18.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9227,1059,513,2024-11-02,2024-11-20,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,7.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9110,1030,506,2024-05-14,2024-05-30,Reem,Osman,,Nasr City,Active,2025-04-01,16.0,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press,Library Database
9021,1008,501,2025-05-22,2025-05-29,Ziad,Saleh,8.0,Maadi,active,2025-10-28,19.0,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Library Database
9007,1008,507,2025-03-15,2025-03-31,Ziad,Saleh,8.0,Maadi,active,2025-10-28,19.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9365,1075,501,2024-01-17,2024-02-01,Malak,Fahmy,7.0,Shubra,Active,2024-10-28,9.0,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Library Database
9142,1027,516,2024-09-21,2024-10-14,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,18.0,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,Library Database
9073,1008,513,2025-02-13,,Ziad,Saleh,8.0,Maadi,active,2025-10-28,19.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9024,1010,507,2025-01-27,2025-02-09,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,18.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9067,1008,507,2024-01-05,2024-01-29,Ziad,Saleh,8.0,Maadi,active,2025-10-28,19.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9324,1061,529,2025-03-12,2025-04-10,Ziad,Fahmy,9.0,zamalek,Inactive,2023-04-27,8.0,Riddles of the Red Sea,Sara Tantawy,Mystery,298,,Cairo Young Readers,Library Database
9250,1044,507,2025-08-05,2025-08-23,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,21.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9090,1016,507,2025-02-18,2025-03-04,Dina,Rashad,8.0,Maadi,Active,2023-04-24,7.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9198,1027,524,2024-10-03,2024-10-19,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,18.0,The Weaver's Daughter,Laila Shokry,Historical,114,2016.0,Cairo Young Readers,Library Database
9046,1022,513,2024-02-22,,Youssef,Fouad,7.0,Maadi,Active,2025-02-28,6.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9115,1034,502,2025-12-16,2026-01-15,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,25.0,Desert Compass,Amina Darwish,Adventure,109,2018.0,Delta House,Library Database
9310,1067,511,2024-02-04,2024-02-12,Aya,Ibrahim,7.0,Zamalek,Inactive,2024-07-03,3.0,Winter in Alexandria,Farida Anwar,Historical,117,2016.0,Nile Press,Library Database
9357,1077,516,2024-07-26,2024-08-15,Lina,Rashad,6.0,Shubra,Active,2023-07-08,6.0,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,Library Database
9286,1072,507,2024-08-09,2024-08-16,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,14.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9354,1079,502,2024-03-09,2024-03-18,Rana,Osman,8.0,Shubra,Active,2024-10-27,10.0,Desert Compass,Amina Darwish,Adventure,109,2018.0,Delta House,Library Database
9290,1065,519,2025-10-09,,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,17.0,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Library Database
